                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2024 al 31/12/2024


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo

1000           CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1000000001     CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1120           RESERVA LEGAL                                         -1.500,00      1.500,00         0,00                0,00
1120000000     RESERVA LEGAL                                         -1.500,00      1.500,00         0,00                0,00
1146           RESERVAS DE REVALORIZACIÓN                            -6.689,82     14.416,21     7.726,39                0,00
1146000001     RESERVA CAPITALIZAACION 2020                          -1.496,62      1.496,62         0,00                0,00
1146000002     RESERVA NIVELACION 2020                                 -695,47        695,47         0,00                0,00
1146000003     RESERVA NIVELACION 2021                                 -761,57        761,57         0,00                0,00
1146000004     RESERVA CAPITALIZACION 2022                             -714,07        714,07         0,00                0,00
1146000005     RESERVA NIVELACION 2022                               -3.022,09      3.022,09         0,00                0,00
1146000006     RESERVA CAPITALIZACION 2023                                0,00      1.871,22     1.871,22                0,00
1146000007     RESERVA NIVELACION 2023                                    0,00      5.855,17     5.855,17                0,00
1200           REMANENTE                                            -50.680,67     97.206,32    46.525,65                0,00
1200000001     REMANENTE EJERCICIO 2009                              -1.660,49      1.660,49         0,00                0,00
1200000002     REMANENTE EJER 2010                                   -2.321,58      2.321,58         0,00                0,00
1200000003     REMANENTE EJERCICIO 2011                             -15.868,42     15.868,42         0,00                0,00
1200000010     REMANENTE EJER 2020                                   -4.978,24      4.978,24         0,00                0,00
1200000011     REMANENTE EJER 2021                                   -7.139,66      7.139,66         0,00                0,00
1200000012     REMANENTE EJER 2022                                  -18.712,28     18.712,28         0,00                0,00
1200000013     REMANENTE EJER 2023                                        0,00     46.525,65    46.525,65                0,00
1210           RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES            422,99          0,00       422,99                0,00
1210000005     RESULOT NEGAT EJER 2012                                  422,99          0,00       422,99                0,00
1290           RESULTADO DEL EJERCICIO                              -46.525,65     60.696,48    14.170,83                0,00
1290000000     RESULTADO DEL EJERCICIO                              -46.525,65     60.696,48    14.170,83                0,00
1700           DEUDAS A LARGO PLAZO CON ENTIDADES DE CRÉDITO        -15.924,75     15.924,75         0,00                0,00
1700000002     PTMO 807581698293                                    -15.924,75     15.924,75         0,00                0,00
2110           CONSTRUCCIONES                                        29.862,39          0,00    29.862,39                0,00
2110000001     REFORMA BAJO OPT. 12/11                               17.140,10          0,00    17.140,10                0,00
2110000002     REFOR.TIENDA 2012                                     12.722,29          0,00    12.722,29                0,00
2130           MAQUINARIA                                            54.319,49          0,00    54.319,49                0,00
2130000000     MAQUINARIA                                             4.500,00          0,00     4.500,00                0,00
2130000002     BISELADORA 04/06                                      27.193,53          0,00    27.193,53                0,00
2130000003     COL. DE REFRAC,FOROP,PROY.5/10                         2.803,74          0,00     2.803,74                0,00
2130000004     SOLDADORA ELECTRICA 03/11                              3.100,00          0,00     3.100,00                0,00
2130000005     AUDIOMETRO                                            12.222,22          0,00    12.222,22                0,00
2130000006     TRACER HUVITZ                                          4.500,00          0,00     4.500,00                0,00
2150           OTRAS INSTALACIONES                                    2.800,00          0,00     2.800,00                0,00
2150000002     CABINA AUDIOMETRIA                                     2.800,00          0,00     2.800,00                0,00
2650           DEPÓSITOS CONSTITUIDOS A LARGO PLAZO                  10.838,01          0,00    10.838,01                0,00
2650000001     DEPOSITO SEA BRIGADA SANIDAD                          10.838,01          0,00    10.838,01                0,00
2811           AMORTIZACIÓN ACUMULADA DE CONSTRUCCIONES             -21.332,25     23.124,00     1.791,75                0,00
2811000001     AMORT.ACUM.REFOR.2011 6%                             -12.426,62     13.455,03     1.028,41                0,00
2811000002     AMORT.ACUM.REFORMA TIENDA 5/12                        -8.905,63      9.668,97       763,34                0,00
2813           AMORTIZACIÓN ACUMULADA DE MAQUINARIA                 -51.887,57     52.562,57       675,00                0,00
2813000000     AMORTIZACIÓN ACUMULADA DE MAQUINARIA                  -3.546,99      4.221,99       675,00                0,00
2813000002     AMORT.ACUM.BISELADORA 18%                            -25.714,62     25.714,62         0,00                0,00
2813000003     AMORT.ACUM.CULIMN.REFRE 18%                           -2.803,74      2.803,74         0,00                0,00
2813000004     AMORT.ACUM.SOLD.ELEC. 15%                             -3.100,00      3.100,00         0,00                0,00
2813000005     AMORT.ACUM.AUDIMETRO 3/12 15%                        -12.222,22     12.222,22         0,00                0,00
2813000006     AMORT ACUM TREACER HUVITZ                             -4.500,00      4.500,00         0,00                0,00
3000           MERCADERÍAS A                                         25.620,00     58.900,00    84.520,00                0,00
3000000001     EXISTENCIAS                                           25.620,00     58.900,00    84.520,00                0,00
4000           PROVEEDORES (EUROS)                                  -37.681,75    165.524,53   127.842,78                0,00
4000000002     ESSILOR ESPAÑA, SA                                    -2.481,00      2.481,00         0,00                0,00
4000000003     IND.DE OPTICA PRATS, SL                                  619,00     25.608,79    26.227,79                0,00
4000000008     S.C.COPTIVAL ZAS VISION                                    0,00        162,64       162,64                0,00
4000000009     INDUSTRIAS DE OPTICA, SA                                   0,00         40,05        40,05                0,00
4000000014     CIOSA, SL                                                  0,00      2.772,23     2.772,23                0,00
4000000027     COOPERVISION IBERIA, SRLU                             -6.266,05     19.163,71    12.897,66                0,00
4000000036     PANOPTICA                                                  0,00        316,03       316,03                0,00
4000000046     SOLID TREND, SL                                         -226,60        226,60         0,00                0,00
4000000049     EYE ART, SL                                             -331,53      2.087,54     1.756,01                0,00
4000000050     VISUALENS LABS                                       -17.944,89     34.529,58    16.584,69                0,00
4000000056     DIGI                                                       0,00        336,54       336,54                0,00
4000000058     DEIPE                                                      0,00        395,00       395,00                0,00
4000000066     PROOPTICA                                             -4.438,73      6.810,01     2.371,28                0,00
4000000068     SHOPIFY INTERNATIONAL LIMITED                              0,00        204,16       204,16                0,00
4000000070     COCO TIME, S.L.                                            0,00      1.081,50     1.081,50                0,00
4000000108     DELY ORGAZ, SL                                          -190,63        406,47       215,84                0,00
4000000115     ASP 96, SL                                            -2.835,09      4.033,12     1.198,03                0,00
4000000116     CARL ZEISS VISION, SL                                   -584,38     32.277,51    31.693,13                0,00
4000000118     VISIONIS DISTRIBUCION, SL                             -3.001,85     14.693,99    11.692,14                0,00
4000000119     DALT DEL SOL, SL                                           0,00     17.898,06    17.898,06                0,00
4100           ACREEDORES POR PRESTACIONES DE SERVICIOS (EUROS       -1.137,40     53.023,30    51.885,90                0,00
4100000006     VODAFONE ESPAÑA, SA                                        0,00      3.979,71     3.979,71                0,00

                                SUMA PARCIAL.......               -114.359,58     499.834,57   385.474,99                0,00



BALANCE DE SUMAS Y SALDOS                                                                                           Página 1
                                                           BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2024 al 31/12/2024


Subcuenta      Nombre de la Subcuenta                       Saldo Inicial        Debe        Haber                Saldo

                             SUMA ANTERIOR.......           -114.359,58     499.834,57   385.474,99                0,00

4100000021     DGA CONSULTORES, SL                                  0,00      4.337,85     4.337,85                0,00
4100000043     PASTOR BENSACH, VERONICA                             0,00      6.122,52     6.122,52                0,00
4100000049     BCO SABADELL CAM                                     0,00      1.250,92     1.250,92                0,00
4100000057     REGISTROS MERCANTIL DE VALENCIA                      0,00        167,15       167,15                0,00
4100000062     CUALTIS, SL                                          0,00        575,19       575,19                0,00
4100000066     HERGAR, CB                                           0,00      7.344,00     7.344,00                0,00
4100000077     NABALIA ENERGIA, SA                                  0,00      2.245,64     2.245,64                0,00
4100000084     CATALA BOLUDA, JORGE                            -2.504,70     13.589,51    11.084,81                0,00
4100000089     FTP COMPUTERS.                                       0,00        504,90       504,90                0,00
4100000091     CORREOS EXPRESS, SA                                  0,00      1.411,98     1.411,98                0,00
4100000101     GOMEZ POLO PATRIMONIAL, SL                           0,00      4.087,26     4.087,26                0,00
4100000103     PYMEXTEL, SLU                                    1.367,30          0,00     1.367,30                0,00
4100000107     DE LAGE LANDEN INTERNACIONAL B.V.                    0,00      4.788,84     4.788,84                0,00
4100000129     SENDCLOUD                                            0,00        728,15       728,15                0,00
4100000131     XFERA MOVILES, SA                                    0,00        217,95       217,95                0,00
4100000133     NETWORKS FIBRA VALENCIA                              0,00      1.464,18     1.464,18                0,00
4100000135     DIGI SPAIN TELECOM, SLU                              0,00        127,83       127,83                0,00
4100000136     REALVNC                                              0,00         52,45        52,45                0,00
4100000137     STRATOR                                              0,00          2,30         2,30                0,00
4100000138     DINAHOSTING, S.L.                                    0,00         24,97        24,97                0,00
4300           CLIENTES (EUROS)                                65.194,68    214.166,14   279.360,82                0,00
4300000000     CLIENTES (EUROS)                                    10,77          0,00        10,77                0,00
4300000012     CARSI ALONSO, Mª PILAR                             119,30          0,00       119,30                0,00
4300000014     GARCIA MATEOS, J                                     0,00         32,95        32,95                0,00
4300000023     OPTICA VCIANA MARIN, SL                             52,16        141,45       193,61                0,00
4300000030     C.OP.AUDT.ALEJANDRO GRAU                           294,33          0,00       294,33                0,00
4300000031     CENTRO OPTICO PICASENT, SL                          69,33          0,00        69,33                0,00
4300000033     OPTICA MAR ARGUDO                                   65,22        204,62       269,84                0,00
4300000034     CENTRE DE SALUT VISUAL, SL                          38,24        393,50       431,74                0,00
4300000037     BAUTISTA MORA, JOSE FRCO                            21,54         68,60        90,14                0,00
4300000041     TERESA GONZALEZ MORET                            3.156,36      5.230,27     8.386,63                0,00
4300000043     GARCIA CONTELL-PONS, CB                            686,72      2.035,43     2.722,15                0,00
4300000050     DEVIS LLORET, Mª ISABEL                            106,11        456,66       562,77                0,00
4300000051     PASCUAL COTANDA, ANA                                96,56        293,31       389,87                0,00
4300000052     RIBELLES LERGA, AMADEO                             132,18        213,80       345,98                0,00
4300000056     CENTRO OPTICO PIQUER, CB                           217,82          0,00       217,82                0,00
4300000057     RAGA-JIMENEZ OPTICOS, SL                            10,77          0,00        10,77                0,00
4300000058     CATALA ESCRIVA, LAURA                               32,06         35,94        68,00                0,00
4300000062     SDA COOP. COPTIVAL ZAS VISION                    6.194,87     12.277,50    18.472,37                0,00
4300000075     SANCHIS Y CHAMERO, SL                                0,00        219,74       219,74                0,00
4300000077     FERNANDEZ-VICENTI, EMMA                            171,70        458,14       629,84                0,00
4300000087     CLERIGUES BALTASER, CARMEN                          24,20          0,00        24,20                0,00
4300000088     ESCUTIA PUIG, MARIA ORETO                           44,17         98,73       142,90                0,00
4300000095     REVIRIEGO AMOR, IVAN                               406,17      1.495,09     1.901,26                0,00
4300000097     ESTEREO-VISION, SL                                  51,43         20,57        72,00                0,00
4300000098     OPTICA LES ALFABEGUES, CB                            0,00        124,99       124,99                0,00
4300000099     CLIENTES VARIOS OPTICA 44                            0,00     73.366,52    73.366,52                0,00
