                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                   FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial       Debe       Haber                Saldo
4000000118     VISIONIS DISTRIBUCION, SL                             -6.903,00    13.728,03   14.757,97            -7.932,94
4000000119     DALT DEL SOL, SL                                     -10.392,91         9,90        9,90           -10.392,91
4100           ACREEDORES POR PRESTACIONES DE SERVICIOS (EUROS       -2.638,25    47.571,12   49.777,40            -4.844,53
4100000006     VODAFONE ESPAÑA, SA                                        0,00     2.019,53    2.019,53                 0,00
4100000021     DGA CONSULTORES, SL                                        0,00     5.115,88    5.115,88                 0,00

                                SUMA PARCIAL.......                -89.261,95     90.542,39   87.369,54          -86.089,10



BALANCE DE SUMAS Y SALDOS                                                                                         Página 1
                                                           BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                       Saldo Inicial        Debe        Haber                Saldo

                              SUMA ANTERIOR.......           -89.261,95      90.542,39    87.369,54          -86.089,10

4100000043     PASTOR BENSACH, VERONICA                             0,00      6.122,52     6.122,52                 0,00
4100000057     REGISTROS MERCANTIL DE VALENCIA                      0,00         46,18        46,18                 0,00
4100000066     HERGAR, CB                                           0,00      7.344,00     7.344,00                 0,00
4100000077     NABALIA ENERGIA, SA                                  0,00      2.140,84     2.140,84                 0,00
4100000084     CATALA BOLUDA, JORGE                            -2.504,70      1.730,30     3.540,46            -4.314,86
4100000086     FNMT                                                 0,00         29,04        29,04                 0,00
4100000089     FTP COMPUTERS.                                       0,00        403,92       403,92                 0,00
4100000091     CORREOS EXPRESS, SA                                  0,00        323,82       320,87                 2,95
4100000107     DE LAGE LANDEN INTERNACIONAL B.V.                    0,00     18.677,06    19.076,13              -399,07
4100000129     SENDCLOUD                                            0,00      2.170,80     2.170,80                 0,00
4100000131     XFERA MOVILES, SA                                    0,00         54,74        54,74                 0,00
4100000133     NETWORKS FIBRA VALENCIA                              0,00      1.204,26     1.204,26                 0,00
4100000135     DIGI SPAIN TELECOM, SLU                            -81,10          0,00         0,00               -81,10
4100000136     REALVNC                                            -52,45          0,00         0,00               -52,45
4100000137     STRATOR                                              0,00          6,90         6,90                 0,00
4100000138     DINAHOSTING, S.L.                                    0,00         90,73        90,73                 0,00
4100000139     DISTRIBUIDORA IBERICA PRO OPTICOS, SL                0,00         32,86        32,86                 0,00
4100000140     REGISTRO MERCANTIL DE VALENCIA CB                    0,00         57,74        57,74                 0,00
4300           CLIENTES (EUROS)                                14.224,61    184.671,90    82.214,01           116.682,50
4300000014     GARCIA MATEOS, J                                     0,00         13,31         0,00                13,31
4300000023     OPTICA VCIANA MARIN, SL                              0,00        183,20         0,00               183,20
4300000033     OPTICA MAR ARGUDO                                   43,08        277,61         0,00               320,69
4300000034     CENTRE DE SALUT VISUAL, SL                          18,63        359,85         0,00               378,48
4300000037     BAUTISTA MORA, JOSE FRCO                             0,00         12,10         0,00                12,10
4300000041     TERESA GONZALEZ MORET                              481,29      4.445,80         0,00             4.927,09
4300000043     GARCIA CONTELL-PONS, CB                            176,95      2.108,13         0,00             2.285,08
4300000050     DEVIS LLORET, Mª ISABEL                            124,82        392,61         0,00               517,43
4300000051     PASCUAL COTANDA, ANA                                -1,80         97,19         0,00                95,39
4300000052     RIBELLES LERGA, AMADEO                              18,03        402,87         0,00               420,90
4300000058     CATALA ESCRIVA, LAURA                                0,00        106,72         0,00               106,72
4300000062     SDA COOP. COPTIVAL ZAS VISION                      859,41     11.473,75         0,00            12.333,16
4300000075     SANCHIS Y CHAMERO, SL                              119,55        230,03         0,00               349,58
4300000077     FERNANDEZ-VICENTI, EMMA                             39,69        833,14         0,00               872,83
4300000088     ESCUTIA PUIG, MARIA ORETO                           13,19        402,81         0,00               416,00
4300000095     REVIRIEGO AMOR, IVAN                               160,12      1.827,14         0,00             1.987,26
4300000097     ESTEREO-VISION, SL                                   0,00         29,88         0,00                29,88
4300000098     OPTICA LES ALFABEGUES, CB                          124,99          0,00         0,00               124,99
4300000099     CLIENTES VARIOS OPTICA 44                            0,00    103.002,64    81.421,02            21.581,62
4300000100     PEIRO CONEJOS, JULIO ENRIQUE                        53,13        605,41         0,00               658,54
4300000121     BARELLES PASTOR, FRANCISCA                          32,01      1.002,63         0,00             1.034,64
4300000132     GRUPO OPTICO PARRILLA LLORENTE                       0,00         82,45         0,00                82,45
4300000146     GAVINETES ESP.DE LEVANTE, SL                         0,00        141,22         0,00               141,22
4300000150     OPTICA ROYO, SL                                      0,00         34,34         0,00                34,34
4300000154     HIDALGO IBAÑEZ, PALOMA                              77,32        273,76         0,00               351,08
4300000156     GEROPCLE, SL                                        56,79      1.303,02         0,00             1.359,81
4300000161     CUARTERO GARCIA, ROBERTO                             0,00         84,94         0,00                84,94
4300000163     NOVA OPTICA, SL                                    467,53      4.787,28         0,00             5.254,81
4300000191     OPTICA DUANE, SL                                    69,58        356,80         0,00               426,38
4300000200     HONGUERO ESTRADA, Mª MERCEDES                       13,07        274,07         0,00               287,14
4300000217     VAPA PHARMAINVERS S.L                                0,00        331,67         0,00               331,67
4300000226     MOLINS OPTICS S.L                                    0,00        461,49         0,00               461,49
4300000239     LOPEZ HERNANDEZ EVA MARIA                            0,00         54,57         0,00                54,57
4300000246     OPTICA CAMPANAR, SL                                 35,82        146,77         0,00               182,59
4300000248     TENA PERALES, RAUL                                  65,56        473,57         0,00               539,13
4300000249     HUERTAS CLARAMONTE, AMPARO                          35,21        290,38         0,00               325,59
4300000282     VISUALTORRENT S.L                                    0,00         15,73         0,00                15,73
4300000306     MORENO VIVAS ANTONIO                                 0,00         35,09         0,00                35,09
4300000318     ORTOVISION CENTRAL, SL                               0,00         98,12         0,00                98,12
4300000333     CTRO OPTICO MEDITERRANEA MONCADA, SL                 0,00         17,55         0,00                17,55
4300000334     LOPEZ PARRILLA, EVA                                 15,73          0,00         0,00                15,73
4300000336     GRUPTECER OPTICS, SL                             6.468,73      2.016,05         0,00             8.484,78
4300000338     OPTICA CIUDAD DE LAS CIENCIAS                       93,17        366,21         0,00               459,38
4300000340     DOMENECH BADENES, EDUARDO RAMON                      0,00         38,84         0,00                38,84
4300000341     OPTICA NOVALUS, SL                                   0,00        103,69         0,00               103,69
4300000342     SANCHEZ CABRERA OPTICA, S.L.                         0,00         43,56         0,00                43,56
4300000345     RELUXVISION SLU                                     22,06        156,77         0,00               178,83
4300000346     TALOS VISION, SL                                     0,00         35,09         0,00                35,09
4300000348     DIES OPTICAS SL                                      0,00         11,37         0,00                11,37
4300000350     CDR OPTICS S.L                                      53,94      1.235,22         0,00             1.289,16
4300000352     INMACULADA NOEMI MOLLA SOLER                        95,15        810,21         0,00               905,36
4300000354     OPTICALIA ONTIYENT                                   0,00         18,39         0,00                18,39
4300000357     ANA DIAZ PASTRANA                                   73,58        717,28         0,00               790,86
4300000362     CRISTINA MAYOR                                       0,00         13,31         0,00                13,31

                                SUMA PARCIAL.......          -81.993,87     273.613,73   211.432,55          -19.812,69



BALANCE DE SUMAS Y SALDOS                                                                                     Página 2
                                                                BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                    FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                            Saldo Inicial        Debe        Haber                Saldo

                              SUMA ANTERIOR.......                -81.993,87     273.613,73   211.432,55          -19.812,69

4300000367     VISTA A LA MAR OPTICOS S.L                               38,54        404,47         0,00               443,01
4300000372     MUNERA TAMARIT, JUAN                                     65,95        426,90         0,00               492,85
4300000373     OPTICA RUBLAN, SLU                                       71,51        320,94         0,00               392,45
4300000375     PAULA RODRIGUEZ ANEIROS                                 229,09      2.931,48         0,00             3.160,57
4300000376     DE LA SERRA SANCHEZ, BEATRIZ                             11,25         24,68         0,00                35,93
4300000379     RIBERA SANZ, SL                                           0,00          3,96         0,00                 3,96
4300000381     OPTICA DEL PENEDES, S.L                                   6,53        239,83         0,00               246,36
4300000391     SANTAMARIA BALZA, M CARMEN                                0,00      1.037,51         0,00             1.037,51
4300000392     DE DIOS BERMELL, AMPARO                                  61,47      1.492,93         0,00             1.554,40
4300000393     SERV.OPT.E.HURTADO, SL                                   24,44        176,06         0,00               200,50
4300000394     SANTAMARIA BALZA, CARMEN                                609,11      4.789,37         0,00             5.398,48
4300000401     ICARE GROUP                                               0,00          0,00       480,00              -480,00
4300000403     DOSMIRADAS2020, SL                                        0,00         24,68         0,00                24,68
4300000407     OPTICAS HERRAL, SL                                       35,45        149,69         0,00               185,14
4300000408     NOVA VISION TORRENT,S.L                                  15,61        644,68         0,00               660,29
4300000409     GILABERT MOLINA RUBEN                                     0,00         16,82         0,00                16,82
4300000412     INVERSIONES LA TRAVESA                                  115,80        213,45         0,00               329,25
4300000414     MARTXA OPTICOS S.L                                       55,64      1.620,49         0,00             1.676,13
4300000415     OPTICAS EL VEDAT                                        115,68        270,92         0,00               386,60
4300000417     VICTOR JUAQUIN GOMEZ SANDEZ                              18,93        438,24         0,00               457,17
4300000418     COMO SAS                                                  0,00        480,00         0,00               480,00
4300000419     LLORENT FABREGAT, ELISA                                   0,00        131,98         0,00               131,98
4300000420     CARMELO                                                   0,00         31,46         0,00                31,46
4300000426     NITA VISON, SLU                                           0,00        376,40         0,00               376,40
4300000430     OPTICA VALL, SL                                           0,00         83,25         0,00                83,25
4300000431     MELO GINER, SONIA                                         0,00         64,85         0,00                64,85
4300000433     DEVA VISION S.L.U.                                        0,00        180,11         0,00               180,11
4300000438     JUNO VISION S.L.                                          0,00         95,85         0,00                95,85
4300000441     VILLANUEVA SOLER, MARIA                                   0,00         14,52         0,00                14,52
4300000442     GAFASONLINE S.L                                           0,00        237,33         0,00               237,33
4300000443     PALOP HIDALGO, PABLO                                      0,00         17,18         0,00                17,18
4300000453     OPTICA VALTERNA C.B                                      14,16        158,37         0,00               172,53
4300000462     R.PERALES,S.L.                                            0,00        164,25         0,00               164,25
4300000463     LAURA ALONSO GRANELL                                     19,24        168,92         0,00               188,16
4300000476     ARENA OPTICA 16 S.L                                     693,92      3.342,24         0,00             4.036,16
4300000486     SOLID TREND S.L                                           0,00      4.709,78         0,00             4.709,78
4300000487     OPTICALIA CLARAMUNT                                      36,30        392,43         0,00               428,73
4300000489     PATERNAVISION                                            13,79        655,01         0,00               668,80
4300000501     MARIA JOSE CARCELLER SANCHEZ                             14,52        101,64         0,00               116,16
4300000505     AUDIOVISION OLICARES                                    239,89      2.739,40         0,00             2.979,29
4300000507     OPTICA JORGE CABAÑES                                      0,00         52,63         0,00                52,63
4300000516     LAERTOS VISION, SL                                       30,01        297,06         0,00               327,07
4300000518     CALLPER BONAVISTA, S.L                                   36,30        156,36         0,00               192,66
4300000519     ORETO HERNANDEZ OPTICA                                   33,40         62,10         0,00                95,50
4300000522     VISUALTORRENT S.L                                        27,59        117,98         0,00               145,57
4300000531     NEWCO RETAIL LEVANTE 1,S.L.U.                           404,62      3.514,17         0,00             3.918,79
4300000533     SALINAS OPTICOS S.L                                      58,08         33,88         0,00                91,96
4300000540     NEWCO RETAIL LEVANTE 12 2 A                               0,01          0,00         0,00                 0,01
