                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2023 al 31/12/2023


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo

1000           CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1000000001     CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1120           RESERVA LEGAL                                              0,00      1.500,00     1.500,00                0,00
1120000000     RESERVA LEGAL                                              0,00      1.500,00     1.500,00                0,00
1146           RESERVAS DE REVALORIZACIÓN                            -2.953,66      6.689,82     3.736,16                0,00
1146000001     RESERVA CAPITALIZAACION 2020                          -1.496,62      1.496,62         0,00                0,00
1146000002     RESERVA NIVELACION 2020                                 -695,47        695,47         0,00                0,00
1146000003     RESERVA NIVELACION 2021                                 -761,57        761,57         0,00                0,00
1146000004     RESERVA CAPITALIZACION 2022                                0,00        714,07       714,07                0,00
1146000005     RESERVA NIVELACION 2022                                    0,00      3.022,09     3.022,09                0,00
1200           REMANENTE                                            -31.968,39     53.669,60    21.701,21                0,00
1200000001     REMANENTE EJERCICIO 2009                              -1.660,49      1.660,49         0,00                0,00
1200000002     REMANENTE EJER 2010                                   -2.321,58      2.321,58         0,00                0,00
1200000003     REMANENTE EJERCICIO 2011                             -15.868,42     15.868,42         0,00                0,00
1200000010     REMANENTE EJER 2020                                   -4.978,24      4.978,24         0,00                0,00
1200000011     REMANENTE EJER 2021                                   -7.139,66      7.139,66         0,00                0,00
1200000012     REMANENTE EJER 2022                                        0,00     21.701,21    21.701,21                0,00
1210           RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES            422,99          0,00       422,99                0,00
1210000005     RESULOT NEGAT EJER 2012                                  422,99          0,00       422,99                0,00
1290           RESULTADO DEL EJERCICIO                              -23.201,21     69.726,86    46.525,65                0,00
1290000000     RESULTADO DEL EJERCICIO                              -23.201,21     69.726,86    46.525,65                0,00
1700           DEUDAS A LARGO PLAZO CON ENTIDADES DE CRÉDITO        -15.924,75     15.924,75         0,00                0,00
1700000002     PTMO 807581698293                                    -15.924,75     15.924,75         0,00                0,00
2110           CONSTRUCCIONES                                        29.862,39          0,00    29.862,39                0,00
2110000001     REFORMA BAJO OPT. 12/11                               17.140,10          0,00    17.140,10                0,00
2110000002     REFOR.TIENDA 2012                                     12.722,29          0,00    12.722,29                0,00
2130           MAQUINARIA                                            54.319,49          0,00    54.319,49                0,00
2130000000     MAQUINARIA                                             4.500,00          0,00     4.500,00                0,00
2130000002     BISELADORA 04/06                                      27.193,53          0,00    27.193,53                0,00
2130000003     COL. DE REFRAC,FOROP,PROY.5/10                         2.803,74          0,00     2.803,74                0,00
2130000004     SOLDADORA ELECTRICA 03/11                              3.100,00          0,00     3.100,00                0,00
2130000005     AUDIOMETRO                                            12.222,22          0,00    12.222,22                0,00
2130000006     TRACER HUVITZ                                          4.500,00          0,00     4.500,00                0,00
2150           OTRAS INSTALACIONES                                    2.800,00          0,00     2.800,00                0,00
2150000002     CABINA AUDIOMETRIA                                     2.800,00          0,00     2.800,00                0,00
2650           DEPÓSITOS CONSTITUIDOS A LARGO PLAZO                  10.838,01          0,00    10.838,01                0,00
2650000001     DEPOSITO SEA BRIGADA SANIDAD                          10.838,01          0,00    10.838,01                0,00
2811           AMORTIZACIÓN ACUMULADA DE CONSTRUCCIONES             -19.540,50     21.332,25     1.791,75                0,00
2811000001     AMORT.ACUM.REFOR.2011 6%                             -11.398,21     12.426,62     1.028,41                0,00
2811000002     AMORT.ACUM.REFORMA TIENDA 5/12                        -8.142,29      8.905,63       763,34                0,00
2813           AMORTIZACIÓN ACUMULADA DE MAQUINARIA                 -50.566,54     51.887,57     1.321,03                0,00
2813000000     AMORTIZACIÓN ACUMULADA DE MAQUINARIA                  -2.871,99      3.546,99       675,00                0,00
2813000002     AMORT.ACUM.BISELADORA 18%                            -25.714,62     25.714,62         0,00                0,00
2813000003     AMORT.ACUM.CULIMN.REFRE 18%                           -2.803,74      2.803,74         0,00                0,00
2813000004     AMORT.ACUM.SOLD.ELEC. 15%                             -3.100,00      3.100,00         0,00                0,00
2813000005     AMORT.ACUM.AUDIMETRO 3/12 15%                        -12.222,22     12.222,22         0,00                0,00
2813000006     AMORT ACUM TREACER HUVITZ                             -3.853,97      4.500,00       646,03                0,00
3000           MERCADERÍAS A                                         25.620,00          0,00    25.620,00                0,00
3000000001     EXISTENCIAS                                           25.620,00          0,00    25.620,00                0,00
4000           PROVEEDORES (EUROS)                                  -15.214,64    163.239,18   148.024,54                0,00
4000000002     ESSILOR ESPAÑA, SA                                         0,00     10.763,00    10.763,00                0,00
4000000003     IND.DE OPTICA PRATS, SL                               -5.103,17     35.285,49    30.182,32                0,00
4000000008     S.C.COPTIVAL ZAS VISION                                    0,00        612,46       612,46                0,00
4000000026     KIMERVERSION, SL                                           0,00        498,43       498,43                0,00
4000000027     COOPERVISION IBERIA, SRLU                                  0,00     21.985,97    21.985,97                0,00
4000000039     DIST.IBERICA PRODUCTOS OPTCICO                             0,00        153,95       153,95                0,00
4000000046     SOLID TREND, SL                                            0,00        226,60       226,60                0,00
4000000049     EYE ART, SL                                                0,49        939,72       940,21                0,00
4000000050     VISUALENS LABS                                        -6.851,75     36.781,17    29.929,42                0,00
4000000056     DIGI                                                      17,13        388,60       405,73                0,00
4000000058     DEIPE                                                      0,00        772,00       772,00                0,00
4000000066     PROOPTICA                                                  0,00      4.438,73     4.438,73                0,00
4000000068     SHOPIFY INTERNATIONAL LIMITED                              0,00          1,00         1,00                0,00
4000000108     DELY ORGAZ, SL                                           -47,50        895,24       847,74                0,00
4000000115     ASP 96, SL                                              -897,31      9.777,84     8.880,53                0,00
4000000116     CARL ZEISS VISION, SL                                 -1.301,58     24.975,92    23.674,34                0,00
4000000118     VISIONIS DISTRIBUCION, SL                               -377,55     11.515,33    11.137,78                0,00
4000000119     DALT DEL SOL, SL                                        -653,40      3.227,73     2.574,33                0,00
4100           ACREEDORES POR PRESTACIONES DE SERVICIOS (EUROS            0,00     75.152,77    75.152,77                0,00
4100000006     VODAFONE ESPAÑA, SA                                        0,00      5.348,08     5.348,08                0,00
4100000021     DGA CONSULTORES, SL                                        0,00      4.845,02     4.845,02                0,00
4100000043     PASTOR BENSACH, VERONICA                                   0,00      6.122,44     6.122,44                0,00
4100000057     REGISTROS MERCANTIL DE VALENCIA                            0,00        296,04       296,04                0,00
4100000066     HERGAR, CB                                                 0,00      7.344,00     7.344,00                0,00
4100000077     NABALIA ENERGIA, SA                                        0,00      3.331,05     3.331,05                0,00
4100000084     CATALA BOLUDA, JORGE                                       0,00      2.504,70     2.504,70                0,00

                                SUMA PARCIAL.......                -41.506,81     419.761,36   378.254,55                0,00


BALANCE DE SUMAS Y SALDOS                                                                                           Página 1
                                                           BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2023 al 31/12/2023


Subcuenta      Nombre de la Subcuenta                       Saldo Inicial        Debe        Haber                Saldo

                             SUMA ANTERIOR.......            -41.506,81     419.761,36   378.254,55                0,00

4100000089     FTP COMPUTERS.                                       0,00      1.959,71     1.959,71                0,00
4100000091     CORREOS EXPRESS, SA                                  0,00      6.386,96     6.386,96                0,00
4100000101     GOMEZ POLO PATRIMONIAL, SL                           0,00     24.523,56    24.523,56                0,00
4100000103     PYMEXTEL, SLU                                        0,00      8.137,25     8.137,25                0,00
4100000119     ARCE MIÑANA, LUIS                                    0,00        653,40       653,40                0,00
4100000125     WINBITS, SLU                                         0,00        192,41       192,41                0,00
4100000129     SENDCLOUD                                            0,00      2.592,24     2.592,24                0,00
4100000131     XFERA MOVILES, SA                                    0,00        275,98       275,98                0,00
4100000132     IKEA                                                 0,00        199,48       199,48                0,00
4100000133     NETWORKS FIBRA VALENCIA                              0,00        203,00       203,00                0,00
4100000134     MOCHOLI CRESPO, SERGIO                               0,00        237,45       237,45                0,00
4300           CLIENTES (EUROS)                                 8.429,53    479.737,71   488.167,24                0,00
4300000000     CLIENTES (EUROS)                                     0,00         10,77        10,77                0,00
4300000003     MARTORELL FOS, MIGUEL                                0,00         68,73        68,73                0,00
4300000005     OPTICA GRABADOR, CB                                  0,00         14,04        14,04                0,00
4300000012     CARSI ALONSO, Mª PILAR                               0,00        195,30       195,30                0,00
4300000018     OPTICA DE CASTRO                                    17,30          0,00        17,30                0,00
4300000023     OPTICA VCIANA MARIN, SL                              0,00        199,30       199,30                0,00
4300000024     GIL PANACH, VICTORIA                                 0,00         98,25        98,25                0,00
4300000030     C.OP.AUDT.ALEJANDRO GRAU                             0,00        294,33       294,33                0,00
4300000031     CENTRO OPTICO PICASENT, SL                           0,00         75,26        75,26                0,00
4300000033     OPTICA MAR ARGUDO                                   19,24        189,37       208,61                0,00
4300000034     CENTRE DE SALUT VISUAL, SL                           0,00         38,24        38,24                0,00
4300000037     BAUTISTA MORA, JOSE FRCO                            16,34        111,57       127,91                0,00
4300000038     CTRO OPT. AUDIT.A.GRAU                               0,00      2.013,00     2.013,00                0,00
4300000041     TERESA GONZALEZ MORET                              297,14      7.214,08     7.511,22                0,00
4300000043     GARCIA CONTELL-PONS, CB                             62,23      1.815,09     1.877,32                0,00
4300000050     DEVIS LLORET, Mª ISABEL                             31,20        594,27       625,47                0,00
4300000051     PASCUAL COTANDA, ANA                                33,40        391,14       424,54                0,00
4300000052     RIBELLES LERGA, AMADEO                              27,95        256,38       284,33                0,00
4300000056     CENTRO OPTICO PIQUER, CB                             0,00        396,42       396,42                0,00
4300000057     RAGA-JIMENEZ OPTICOS, SL                             0,00         10,77        10,77                0,00
4300000058     CATALA ESCRIVA, LAURA                               33,40         87,72       121,12                0,00
4300000062     SDA COOP. COPTIVAL ZAS VISION                      738,39     12.944,73    13.683,12                0,00
4300000077     FERNANDEZ-VICENTI, EMMA                             21,78        577,65       599,43                0,00
4300000087     CLERIGUES BALTASER, CARMEN                           0,00         47,31        47,31                0,00
4300000088     ESCUTIA PUIG, MARIA ORETO                            0,00         60,99        60,99                0,00
4300000095     REVIRIEGO AMOR, IVAN                               114,31      1.375,39     1.489,70                0,00
4300000097     ESTEREO-VISION, SL                                   0,00         99,95        99,95                0,00
4300000099     CLIENTES VARIOS OPTICA 44                            0,00    133.508,09   133.508,09                0,00
4300000104     MARTINEZ ESTELLES, SL                                0,00        499,18       499,18                0,00
4300000105     LOPEZ OPTICOS SEDAVI, SL                             0,00         13,19        13,19                0,00
4300000109     BARBERA VALL, TANIA                                 12,22         59,65        71,87                0,00
4300000120     FEDERICA ROQUET-JALMAR CARQUEFEDERICA               37,51        349,34       386,85                0,00
4300000121     BARELLES PASTOR, FRANCISCA                         188,32        677,90       866,22                0,00
4300000132     GRUPO OPTICO PARRILLA LLORENTE                      23,96        165,78       189,74                0,00
