                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2022 al 31/12/2022


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo

1000           CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1000000001     CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1146           RESERVAS DE REVALORIZACIÓN                            -2.192,09      2.953,66       761,57                0,00
1146000001     RESERVA CAPITALIZAACION 2020                          -1.496,62      1.496,62         0,00                0,00
1146000002     RESERVA NIVELACION 2020                                 -695,47        695,47         0,00                0,00
1146000003     RESERVA NIVELACION 2021                                    0,00        761,57       761,57                0,00
1200           REMANENTE                                            -24.828,73     31.968,39     7.139,66                0,00
1200000001     REMANENTE EJERCICIO 2009                              -1.660,49      1.660,49         0,00                0,00
1200000002     REMANENTE EJER 2010                                   -2.321,58      2.321,58         0,00                0,00
1200000003     REMANENTE EJERCICIO 2011                             -15.868,42     15.868,42         0,00                0,00
1200000010     REMANENTE EJER 2020                                   -4.978,24      4.978,24         0,00                0,00
1200000011     REMANENTE EJER 2021                                        0,00      7.139,66     7.139,66                0,00
1210           RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES            422,99          0,00       422,99                0,00
1210000005     RESULOT NEGAT EJER 2012                                  422,99          0,00       422,99                0,00
1290           RESULTADO DEL EJERCICIO                               -7.139,66     30.340,87    23.201,21                0,00
1290000000     RESULTADO DEL EJERCICIO                               -7.139,66     30.340,87    23.201,21                0,00
1700           DEUDAS A LARGO PLAZO CON ENTIDADES DE CRÉDITO        -15.924,75     15.924,75         0,00                0,00
1700000002     PTMO 807581698293                                    -15.924,75     15.924,75         0,00                0,00
2110           CONSTRUCCIONES                                        29.862,39          0,00    29.862,39                0,00
2110000001     REFORMA BAJO OPT. 12/11                               17.140,10          0,00    17.140,10                0,00
2110000002     REFOR.TIENDA 2012                                     12.722,29          0,00    12.722,29                0,00
2130           MAQUINARIA                                            54.319,49          0,00    54.319,49                0,00
2130000000     MAQUINARIA                                             4.500,00          0,00     4.500,00                0,00
2130000002     BISELADORA 04/06                                      27.193,53          0,00    27.193,53                0,00
2130000003     COL. DE REFRAC,FOROP,PROY.5/10                         2.803,74          0,00     2.803,74                0,00
2130000004     SOLDADORA ELECTRICA 03/11                              3.100,00          0,00     3.100,00                0,00
2130000005     AUDIOMETRO                                            12.222,22          0,00    12.222,22                0,00
2130000006     TRACER HUVITZ                                          4.500,00          0,00     4.500,00                0,00
2150           OTRAS INSTALACIONES                                    2.800,00          0,00     2.800,00                0,00
2150000002     CABINA AUDIOMETRIA                                     2.800,00          0,00     2.800,00                0,00
2650           DEPÓSITOS CONSTITUIDOS A LARGO PLAZO                  10.838,01          0,00    10.838,01                0,00
2650000001     DEPOSITO SEA BRIGADA SANIDAD                          10.838,01          0,00    10.838,01                0,00
2811           AMORTIZACIÓN ACUMULADA DE CONSTRUCCIONES             -17.748,75     19.540,50     1.791,75                0,00
2811000001     AMORT.ACUM.REFOR.2011 6%                             -10.369,80     11.398,21     1.028,41                0,00
2811000002     AMORT.ACUM.REFORMA TIENDA 5/12                        -7.378,95      8.142,29       763,34                0,00
2813           AMORTIZACIÓN ACUMULADA DE MAQUINARIA                 -49.216,54     50.566,54     1.350,00                0,00
2813000000     AMORTIZACIÓN ACUMULADA DE MAQUINARIA                  -2.196,99      2.871,99       675,00                0,00
2813000002     AMORT.ACUM.BISELADORA 18%                            -25.714,62     25.714,62         0,00                0,00
2813000003     AMORT.ACUM.CULIMN.REFRE 18%                           -2.803,74      2.803,74         0,00                0,00
2813000004     AMORT.ACUM.SOLD.ELEC. 15%                             -3.100,00      3.100,00         0,00                0,00
2813000005     AMORT.ACUM.AUDIMETRO 3/12 15%                        -12.222,22     12.222,22         0,00                0,00
2813000006     AMORT ACUM TREACER HUVITZ                             -3.178,97      3.853,97       675,00                0,00
3000           MERCADERÍAS A                                         23.159,00     25.620,00    48.779,00                0,00
3000000001     EXISTENCIAS                                           23.159,00     25.620,00    48.779,00                0,00
4000           PROVEEDORES (EUROS)                                  -46.277,73    196.454,81   150.177,08                0,00
4000000003     IND.DE OPTICA PRATS, SL                               -5.061,05     46.968,87    41.907,82                0,00
4000000008     S.C.COPTIVAL ZAS VISION                                    0,00        510,80       510,80                0,00
4000000027     COOPERVISION IBERIA, SRLU                             -1.197,99     16.356,86    15.158,87                0,00
4000000039     DIST.IBERICA PRODUCTOS OPTCICO                             0,00        258,21       258,21                0,00
4000000046     SOLID TREND, SL                                            0,00      1.542,94     1.542,94                0,00
4000000049     EYE ART, SL                                                0,00        756,63       756,63                0,00
4000000050     VISUALENS LABS                                       -13.470,17     64.512,36    51.042,19                0,00
4000000056     DIGI                                                       0,00        522,54       522,54                0,00
4000000058     DEIPE                                                      0,00        693,00       693,00                0,00
4000000059     ABOUT KEONS, SL                                      -21.475,76     21.475,76         0,00                0,00
4000000063     DISOP, SA                                                -28,38         28,38         0,00                0,00
4000000065     ARENA OPTICA 16, SL                                     -401,65        401,65         0,00                0,00
4000000066     PROOPTICA                                               -340,99      1.330,10       989,11                0,00
4000000067     AMPARO ISABEL BERGA MARTINEZ, SL                           0,00        498,01       498,01                0,00
4000000068     SHOPIFY INTERNATIONAL LIMITED                              0,00        312,00       312,00                0,00
4000000069     CIOLABB SPAIN, SL                                          0,00        224,49       224,49                0,00
4000000108     DELY ORGAZ, SL                                             0,00        623,36       623,36                0,00
4000000115     ASP 96, SL                                              -701,76      6.351,08     5.649,32                0,00
4000000116     CARL ZEISS VISION, SL                                 -2.573,49     18.502,40    15.928,91                0,00
4000000118     VISIONIS DISTRIBUCION, SL                             -1.026,49     12.625,17    11.598,68                0,00
4000000119     DALT DEL SOL, SL                                           0,00      1.960,20     1.960,20                0,00
4100           ACREEDORES POR PRESTACIONES DE SERVICIOS (EUROS       -4.234,87     92.417,39    88.182,52                0,00
4100000005     TELEFONICA DE ESPAÑA, SA                                   0,00      1.338,40     1.338,40                0,00
4100000006     VODAFONE ESPAÑA, SA                                        0,00        146,47       146,47                0,00
4100000018     MADENJO, SL                                                0,00         21,49        21,49                0,00
4100000021     DGA CONSULTORES, SL                                        0,00      3.840,23     3.840,23                0,00
4100000043     PASTOR BENSACH, VERONICA                                   0,00      6.122,52     6.122,52                0,00
4100000057     REGISTROS MERCANTIL DE VALENCIA                            0,00        100,02       100,02                0,00
4100000066     HERGAR, CB                                                 0,00      7.140,00     7.140,00                0,00
4100000077     NABALIA ENERGIA, SA                                        0,00      4.820,73     4.820,73                0,00
4100000101     GOMEZ POLO PATRIMONIAL, SL                                 0,00     23.897,04    23.897,04                0,00

                                SUMA PARCIAL.......                -47.926,37     426.796,42   378.870,05                0,00


BALANCE DE SUMAS Y SALDOS                                                                                           Página 1
                                                           BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2022 al 31/12/2022


Subcuenta      Nombre de la Subcuenta                       Saldo Inicial        Debe        Haber                Saldo

                             SUMA ANTERIOR.......            -47.926,37     426.796,42   378.870,05                0,00

4100000102     GOOGLE                                               0,00     16.120,24    16.120,24                0,00
4100000103     PYMEXTEL, SLU                                   -1.367,30     15.863,10    14.495,80                0,00
4100000107     DE LAGE LANDEN INTERNACIONAL B.V.               -2.810,04      7.311,99     4.501,95                0,00
4100000110     VENTURI DIGITAL INVESTMENT, SL                     -22,68         22,68         0,00                0,00
4100000115     VALFIRE SISTEMAS, SL                                 0,00         65,70        65,70                0,00
4100000117     LAZO IMPRESORES, SL                                  0,00         34,85        34,85                0,00
4100000119     ARCE MIÑANA, LUIS                                    0,00        759,76       759,76                0,00
4100000122     SANITAS                                              0,00      1.346,08     1.346,08                0,00
4100000125     WINBITS, SLU                                         0,00        117,84       117,84                0,00
4100000127     LAZO IMPRESORES, SL                                -34,85         34,85         0,00                0,00
4100000128     SANTERFOUD 1025, SL                                  0,00        379,00       379,00                0,00
4100000129     SENDCLOUD                                            0,00      2.590,12     2.590,12                0,00
4100000130     BLACK DESEÑO & IMPRESION, SL                         0,00        165,77       165,77                0,00
4100000131     XFERA MOVILES, SA                                    0,00        178,51       178,51                0,00
4300           CLIENTES (EUROS)                                 8.701,21    445.190,40   453.891,61                0,00
4300000012     CARSI ALONSO, Mª PILAR                               0,00         26,86        26,86                0,00
4300000018     OPTICA DE CASTRO                                    11,37        251,18       262,55                0,00
4300000023     OPTICA VCIANA MARIN, SL                              0,00        115,26       115,26                0,00
4300000028     OLMOS TORREGROSA, CAROLINA                           0,00         26,74        26,74                0,00
4300000033     OPTICA MAR ARGUDO                                   12,10        374,98       387,08                0,00
4300000037     BAUTISTA MORA, JOSE FRCO                             0,00         43,08        43,08                0,00
4300000041     TERESA GONZALEZ MORET                              203,18      5.092,50     5.295,68                0,00
4300000043     GARCIA CONTELL-PONS, CB                              0,85      2.188,33     2.189,18                0,00
4300000050     DEVIS LLORET, Mª ISABEL                             84,00      1.240,67     1.324,67                0,00
4300000051     PASCUAL COTANDA, ANA                                12,10        221,68       233,78                0,00
4300000052     RIBELLES LERGA, AMADEO                              22,79        338,82       361,61                0,00
4300000058     CATALA ESCRIVA, LAURA                                0,00        188,53       188,53                0,00
4300000062     SDA COOP. COPTIVAL ZAS VISION                      532,47      9.912,20    10.444,67                0,00
4300000077     FERNANDEZ-VICENTI, EMMA                             41,75        807,34       849,09                0,00
4300000087     CLERIGUES BALTASER, CARMEN                           0,00         72,24        72,24                0,00
4300000089     ESCRIVA BLASCO, MILAGROS                             0,00         55,05        55,05                0,00
4300000095     REVIRIEGO AMOR, IVAN                               127,51      1.567,93     1.695,44                0,00
4300000097     ESTEREO-VISION, SL                                   0,00         35,58        35,58                0,00
4300000099     CLIENTES VARIOS OPTICA 44                            0,00     78.878,70    78.878,70                0,00
4300000105     LOPEZ OPTICOS SEDAVI, SL                             0,00         21,36        21,36                0,00
4300000106     OPTICA VIRGEN DE LUJAN, SL                           0,00         11,37        11,37                0,00
4300000109     BARBERA VALL, TANIA                                  0,00         38,84        38,84                0,00
4300000120     FEDERICA ROQUET-JALMAR CARQUEFEDERICA              788,18      4.614,08     5.402,26                0,00
4300000121     BARELLES PASTOR, FRANCISCA                          42,71      1.106,17     1.148,88                0,00
4300000132     GRUPO OPTICO PARRILLA LLORENTE                      16,82        249,13       265,95                0,00
4300000146     GAVINETES ESP.DE LEVANTE, SL                        20,15        514,31       534,46                0,00
4300000156     GEROPCLE, SL                                        66,67        576,35       643,02                0,00
4300000163     NOVA OPTICA, SL                                      0,00         42,35        42,35                0,00
4300000187     MONTIJO OPTICOS REQUENA                              0,00         19,48        19,48                0,00
4300000188     SABATER LLORACH, MARGA                               0,00         19,97        19,97                0,00
4300000191     OPTICA DUANE, SL                                    12,10        352,00       364,10                0,00
