                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: VISUALENS LABS, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial       Debe       Haber                Saldo
4700000000     HACIENDA PÚBLICA, DEUDORA POR IVA                         0,00         23,66        0,00                23,66
4720           HACIENDA PÚBLICA, IVA SOPORTADO                           0,00      1.913,00    1.376,82               536,18
4720000010     IVA SOPORTADO 10%                                         0,00      1.714,18    1.265,75               448,43

                                SUMA PARCIAL.......                -42.431,94     30.820,22   31.229,06          -42.840,78



BALANCE DE SUMAS Y SALDOS                                                                                         Página 1
                                                                  BALANCE DE SUMAS Y SALDOS
EMPRESA: VISUALENS LABS, SL                                                                                FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                              Saldo Inicial       Debe       Haber                Saldo

                              SUMA ANTERIOR.......                  -42.431,94     30.820,22   31.229,06          -42.840,78

4720000021     IVA SOPORTADO 21%                                           0,00       198,82      111,07                87,75
4730           HACIENDA PÚBLICA, RETENCIONES Y PAGOS A CUENTA          3.282,30         0,00        0,00             3.282,30
4730000000     HACIENDA PÚBLICA, RETENCIONES Y PAGOS A CUENTA          3.282,30         0,00        0,00             3.282,30
4750           HACIENDA PÚBLICA, ACREEDORA POR IVA                    -1.825,61         0,00        0,00            -1.825,61
4750000000     HACIENDA PÚBLICA, ACREEDORA POR IVA                    -1.526,70         0,00        0,00            -1.526,70
4750000006     AZPO IVA 3T 2024                                         -298,91         0,00        0,00              -298,91
4751           HACIENDA PÚBLICA, ACREEDORA POR RETENCIONES PR         -2.623,84         0,00       41,44            -2.665,28
4751000000     HACIENDA PÚBLICA, ACREEDORA POR RETENCIONES PRA          -229,84         0,00       41,44              -271,28
4751000002     I.R.P.F ALQUILER                                       -2.394,00         0,00        0,00            -2.394,00
4752           HACIENDA PÚBLICA, ACREEDORA POR IMPUESTO SOBR         -12.513,76         0,00        0,00           -12.513,76
4752000000     HACIENDA PÚBLICA, ACREEDORA POR IMPUESTO SOBRE         -3.960,02         0,00        0,00            -3.960,02
4752000002     APZO IMP SOC 2021                                      -1.447,09         0,00        0,00            -1.447,09
4752000003     APZO IMP SOCIEDADES 2022                               -5.115,01         0,00        0,00            -5.115,01
4752000004     APZO IMP SOCIEDADES 2023                               -1.991,64         0,00        0,00            -1.991,64
4770           HACIENDA PÚBLICA, IVA REPERCUTIDO                           0,00     1.784,25    2.372,18              -587,93
4770000010     IVA DEVENGADO 10%                                           0,00     1.699,81    2.287,69              -587,88
4770000144     IVA REC EQUI                                                0,00        84,44       84,49                -0,05
